PAGINA_PDF;INDICE_LIDO_NA_IMAGEM;STATUS_ORDEM;QUALIDADE_NITIDEZ
122;;DÚVIDA (Não lido). Esperado: 2;BOA
123;440;ERRO: Leu 440, esperava 3;BOA
124;;DÚVIDA (Não lido). Esperado: 441;BOA
125;0;ERRO: Leu 0, esperava 442;BOA
126;4;ERRO: Leu 4, esperava 1;BOA
127;;DÚVIDA (Não lido). Esperado: 5;BOA
128;11;ERRO: Leu 11, esperava 6;BOA
129;;DÚVIDA (Não lido). Esperado: 12;BOA
130;;DÚVIDA (Não lido). Esperado: 13;BOA
131;;DÚVIDA (Não lido). Esperado: 14;BOA
132;4;ERRO: Leu 4, esperava 15;BOA
133;;DÚVIDA (Não lido). Esperado: 5;BOA
134;8;ERRO: Leu 8, esperava 6;BOA
135;1;ERRO: Leu 1, esperava 9;BOA
136;0;ERRO: Leu 0, esperava 2;BOA
137;;DÚVIDA (Não lido). Esperado: 1;BOA
138;4;ERRO: Leu 4, esperava 2;BOA
139;10;ERRO: Leu 10, esperava 5;BOA
140;;DÚVIDA (Não lido). Esperado: 11;BOA
141;19;ERRO: Leu 19, esperava 12;BOA
142;23134;ERRO: Leu 23134, esperava 20;BOA
143;;DÚVIDA (Não lido). Esperado: 23135;BOA
144;0;ERRO: Leu 0, esperava 23136;BOA
145;;DÚVIDA (Não lido). Esperado: 1;BOA
146;;DÚVIDA (Não lido). Esperado: 2;BOA
147;0;ERRO: Leu 0, esperava 3;BOA
148;;DÚVIDA (Não lido). Esperado: 1;BOA
149;1;ERRO: Leu 1, esperava 2;BOA
150;;DÚVIDA (Não lido). Esperado: 2;BOA
151;2;ERRO: Leu 2, esperava 3;BOA
152;40;ERRO: Leu 40, esperava 3;BOA
153;68;ERRO: Leu 68, esperava 41;BOA
154;;DÚVIDA (Não lido). Esperado: 69;BOA
155;24;ERRO: Leu 24, esperava 70;BOA
156;;DÚVIDA (Não lido). Esperado: 25;BOA
157;6;ERRO: Leu 6, esperava 26;BOA
158;1;ERRO: Leu 1, esperava 7;BOA
159;;DÚVIDA (Não lido). Esperado: 2;BOA
160;;DÚVIDA (Não lido). Esperado: 3;BOA
161;;DÚVIDA (Não lido). Esperado: 4;BOA
162;;DÚVIDA (Não lido). Esperado: 5;BOA
163;1;ERRO: Leu 1, esperava 6;BOA
164;16;ERRO: Leu 16, esperava 2;BOA
165;0;ERRO: Leu 0, esperava 17;BOA
166;;DÚVIDA (Não lido). Esperado: 1;BOA
167;;DÚVIDA (Não lido). Esperado: 2;BOA
168;;DÚVIDA (Não lido). Esperado: 3;BOA
169;;DÚVIDA (Não lido). Esperado: 4;BOA
170;;DÚVIDA (Não lido). Esperado: 5;BOA
171;0;ERRO: Leu 0, esperava 6;BOA
172;;DÚVIDA (Não lido). Esperado: 1;BOA
173;;DÚVIDA (Não lido). Esperado: 2;BOA
174;10;ERRO: Leu 10, esperava 3;BOA
175;;DÚVIDA (Não lido). Esperado: 11;BOA
176;;DÚVIDA (Não lido). Esperado: 12;BOA
177;;DÚVIDA (Não lido). Esperado: 13;BOA
178;2;ERRO: Leu 2, esperava 14;BOA
179;;DÚVIDA (Não lido). Esperado: 3;BOA
180;1;ERRO: Leu 1, esperava 4;BOA
181;;DÚVIDA (Não lido). Esperado: 2;BOA
182;4;ERRO: Leu 4, esperava 3;BOA
183;;DÚVIDA (Não lido). Esperado: 5;BOA
184;;DÚVIDA (Não lido). Esperado: 6;BOA
185;100;ERRO: Leu 100, esperava 7;BOA
186;;DÚVIDA (Não lido). Esperado: 101;BOA
187;4;ERRO: Leu 4, esperava 102;BOA
188;2;ERRO: Leu 2, esperava 5;BOA
189;4;ERRO: Leu 4, esperava 3;BOA
190;4;ERRO: Leu 4, esperava 5;BOA
191;;DÚVIDA (Não lido). Esperado: 5;BOA
192;7;ERRO: Leu 7, esperava 6;BOA
193;;DÚVIDA (Não lido). Esperado: 8;BOA
194;0;ERRO: Leu 0, esperava 9;BOA
195;;DÚVIDA (Não lido). Esperado: 1;BOA
196;4;ERRO: Leu 4, esperava 2;BOA
197;1;ERRO: Leu 1, esperava 5;BOA
198;4;ERRO: Leu 4, esperava 2;BOA
199;0;ERRO: Leu 0, esperava 5;BOA
200;;DÚVIDA (Não lido). Esperado: 1;BOA
201;;DÚVIDA (Não lido). Esperado: 2;BOA
202;;DÚVIDA (Não lido). Esperado: 3;BOA
203;2;ERRO: Leu 2, esperava 4;BOA
204;;DÚVIDA (Não lido). Esperado: 3;BOA
205;4;OK;BOA
206;4;ERRO: Leu 4, esperava 5;BOA
207;;DÚVIDA (Não lido). Esperado: 5;BOA
208;;DÚVIDA (Não lido). Esperado: 6;BOA
209;;DÚVIDA (Não lido). Esperado: 7;BOA
210;;DÚVIDA (Não lido). Esperado: 8;BOA
211;2;ERRO: Leu 2, esperava 9;BOA
212;142;ERRO: Leu 142, esperava 3;BOA
213;0;ERRO: Leu 0, esperava 143;BOA
214;;DÚVIDA (Não lido). Esperado: 1;BOA
215;;DÚVIDA (Não lido). Esperado: 2;BOA
216;12;ERRO: Leu 12, esperava 3;BOA
217;;DÚVIDA (Não lido). Esperado: 13;BOA
218;0;ERRO: Leu 0, esperava 14;BOA
219;;DÚVIDA (Não lido). Esperado: 1;BOA
220;0;ERRO: Leu 0, esperava 2;BOA
221;1;OK;BOA
222;;DÚVIDA (Não lido). Esperado: 2;BOA
223;0;ERRO: Leu 0, esperava 3;BOA
224;4;ERRO: Leu 4, esperava 1;BOA
225;;DÚVIDA (Não lido). Esperado: 5;BOA
226;0;ERRO: Leu 0, esperava 6;BOA
227;0;ERRO: Leu 0, esperava 1;BOA
228;;DÚVIDA (Não lido). Esperado: 1;BOA
229;7;ERRO: Leu 7, esperava 2;BOA
230;;DÚVIDA (Não lido). Esperado: 8;BOA
231;;DÚVIDA (Não lido). Esperado: 9;BOA
232;0;ERRO: Leu 0, esperava 10;BOA
233;;DÚVIDA (Não lido). Esperado: 1;BOA
234;;DÚVIDA (Não lido). Esperado: 2;BOA
235;14;ERRO: Leu 14, esperava 3;BOA
236;0;ERRO: Leu 0, esperava 15;BOA
237;;DÚVIDA (Não lido). Esperado: 1;BOA
238;4;ERRO: Leu 4, esperava 2;BOA
239;;DÚVIDA (Não lido). Esperado: 5;BOA
240;0;ERRO: Leu 0, esperava 6;BOA
241;;DÚVIDA (Não lido). Esperado: 1;BOA
